Model,Architecture,MSE,MAE,R²,RMSE
Dual Model,RoBERTa + LSTM + Emotion,0.016397880521665267,0.08756550938358636,0.20860335927986917,0.1280542093086567
Linear Regression,RoBERTa + Linear Regression,0.011511842410889645,0.08272185005389648,0.44441396554629864,0.10729325426553919
Ridge Regression,RoBERTa + Ridge Regression,0.011437073965776125,0.0823849841200437,0.4480224499608868,0.10694425634776336
Lasso Regression,RoBERTa + Lasso Regression,0.020722209290891056,0.0930893256001703,-9.795774784904232e-05,0.1439521076292079
SVR,RoBERTa + SVR,0.010931580279981413,0.0815469815584096,0.47241865191604937,0.10455419781138112
Random Forest,RoBERTa + Random Forest,0.011452339455404647,0.07806860903596768,0.44728570491661124,0.10701560379404794
